Cabinet_Name,Cabinet_Category,Cabinet_Sub_Type,SKU,Stock_Price,Doors,Drawers,Shelves,Width,Height,Depth,Phase,Run,Catalog_Page
,Base Cabinet,,BBC48,738,,,,,,,1,1,I13
,Base Cabinet,,PBBC36,1052,,,,,,,1,1,I14
,Base Cabinet,,PBBC39,1102,,,,,,,1,1,I14
,Base Cabinet,,PBBC42,1202,,,,,,,1,1,I14
,Base Cabinet,,PBBC45,1254,,,,,,,1,1,I14
,Base Cabinet,,PBBC48,1306,,,,,,,1,1,I14
,Base Cabinet,,SBBC54,998,,,,,,,1,1,I15
,Base Cabinet,,SBBC57,1028,,,,,,,1,1,I15
,Base Cabinet,,SBBC60,1110,,,,,,,1,1,I15
,Base Cabinet,,BBC42-S,1411,,,,,,,1,1,I16
,Base Cabinet,,BBC45-S,1439,,,,,,,1,1,I16
,Base Cabinet,,BBC48-S,1469,,,,,,,1,1,I16
,Base Cabinet,,BBC45-WS,2189,,,,,,,1,1,I17
,Base Cabinet,,BBC48-WS,2219,,,,,,,1,1,I17
,Base Cabinet,,BBC51-WS,2248,,,,,,,1,1,I17
,Base Cabinet,,BDB27,1085,,,,,,,1,1,I18
,Base Cabinet,,BDB30,1120,,,,,,,1,1,I18
,Base Cabinet,,BDB33,1154,,,,,,,1,1,I18
,Base Cabinet,,BDB36,1184,,,,,,,1,1,I18
,Base Cabinet,,BDB39,1219,,,,,,,1,1,I18
,Base Cabinet,,BDB42,1254,,,,,,,1,1,I18
,Base Cabinet,,BDB45,1282,,,,,,,1,1,I18
,Base Cabinet,,BDB48,1293,,,,,,,1,1,I18
,Base Cabinet,,BDBD27,1539,,,,,,,1,1,I19
,Base Cabinet,,BDBD30,1585,,,,,,,1,1,I19
,Base Cabinet,,BDBD33,1631,,,,,,,1,1,I19
,Base Cabinet,,BDBD36,1673,,,,,,,1,1,I19
,Base Cabinet,,BDBD39,1719,,,,,,,1,1,I19
,Base Cabinet,,BDBD42,1765,,,,,,,1,1,I19
,Base Cabinet,,BBB12,775,,,,,,,1,1,I20
,Base Cabinet,,BBB15,803,,,,,,,1,1,I20
,Base Cabinet,,BBB18,814,,,,,,,1,1,I20
,Base Cabinet,,BBB21,849,,,,,,,1,1,I20
,Base Cabinet,,BBB24,868,,,,,,,1,1,I20
,Base Cabinet,,B12-2HD,811,,,,,,,1,1,I21
,Base Cabinet,,B15-2HD,829,,,,,,,1,1,I21
,Base Cabinet,,B18-2HD,870,,,,,,,1,1,I21
,Base Cabinet,,B21-2HD,911,,,,,,,1,1,I21
,Base Cabinet,,B24-2HD,946,,,,,,,1,1,I21
,Base Cabinet,,B27-2HD,985,,,,,,,1,1,I21
,Base Cabinet,,B30-2HD,1026,,,,,,,1,1,I21
,Base Cabinet,,B33-2HD,1121,,,,,,,1,1,I21
,Base Cabinet,,B36-2HD,1216,,,,,,,1,1,I21
,Base Cabinet,,B39-2HD,1431,,,,,,,1,1,I21
,Base Cabinet,,B42-2HD,1526,,,,,,,1,1,I21
,Base Cabinet,,B12-3,511,,,,,,,1,1,I22
,Base Cabinet,,B15-3,530,,,,,,,1,1,I22
,Base Cabinet,,B18-3,569,,,,,,,1,1,I22
,Base Cabinet,,B21-3,610,,,,,,,1,1,I22
,Base Cabinet,,B24-3,645,,,,,,,1,1,I22
,Base Cabinet,,B27-3,686,,,,,,,1,1,I22
,Base Cabinet,,B30-3,727,,,,,,,1,1,I22
,Base Cabinet,,B33-3,822,,,,,,,1,1,I22
,Base Cabinet,,B36-3,917,,,,,,,1,1,I22
,Base Cabinet,,B39-3,1192,,,,,,,1,1,I22
,Base Cabinet,,B42-3,1287,,,,,,,1,1,I22
,Base Cabinet,,B12-2TD,1247,,,,,,,1,1,I23
,Base Cabinet,,B15-2TD,1265,,,,,,,1,1,I23
,Base Cabinet,,B18-2TD,1306,,,,,,,1,1,I23
